content,cleaned_content,score,sentiment,label_used,text_source
"Can't login, session expired and logged out automatically. Keep this bug makes ur app rating worse.",cant login session expired logged automatically keep bug make ur app rating worse,1,negative,negative,score_augmented
"ga rekomend, buang uang aja kalau di jenius ini",ga rekomend buang uang aja kalau di jenius ini,1,negative,negative,score_augmented
Aplikasi digital perbankan untuk menabung yang aman banget! Ga nyesel pake jenius!!! 🤑🤑🤑,aplikasi digital perbankan untuk menabung yang aman banget ga nyesel pake jenius,5,positive,positive,score_augmented
Cant even login to my account after verification process,cant even login account verification process,1,negative,negative,score_augmented
"Been using jenius for years and using flexi cash many times until i got the lowest fee as possible. And suddenly increased twice that number. I've been betrayed, such dissappointment",using jenius year using flexi cash many time got lowest fee possible suddenly increased twice number ive betrayed dissappointment,5,positive,positive,score_augmented
"Dulu nih perusahaan bagus, tapi skrg banyak bank yg ngeluarin applikasi lebih bagus. Jangan pake jenius apalagi auto debit. Setiap pembayaran gagal fuit lo bakal di potong mereka.",dulu nih perusahaan bagus tapi skrg banyak bank yg ngeluarin applikasi lebih bagus jangan pake jenius apalagi auto debit setiap pembayaran gagal fuit lo bakal di potong mereka,1,negative,negative,score_augmented
tolong lah tech debt nya dikerjain.. performa aplikasi makin lambat.. stop nambah fitur terus... benerin performa dulu,tolong lah tech debt nya dikerjain performa aplikasi makin lambat stop nambah fitur terus benerin performa dulu,3,neutral,neutral,score_augmented
Biasa pake jarang error. Abis diuodste jdi berat. Buka ajah lama bgt 😭😭,biasa pake jarang error abis diuodste jdi berat buka ajah lama bgt,4,positive,positive,score_augmented
Selama penggunaan aplikasinya bagus dan lancar. Aktivasi nya juga mudah 👍,selama penggunaan aplikasinya bagus dan lancar aktivasi nya juga mudah,5,positive,positive,score_augmented
"Mohon di check kembali APK Jenius, saya beberapa Kali log in tiba2 ter log out otomatis 🤣",mohon di check kembali apk jenius saya beberapa kali log tiba ter log otomatis,1,negative,negative,score_augmented
"Aplikasi online yang membantu menabung, , mengatur keuangan, top up, dan transfer ke semua rekening tanpa biaya tambahan, mempermudah kita dimana pun kapan pun kita berada karena aplikasi ini menggunakan ponsel mempermudah pengguna dan cara pakai nya juga tidak rumit",aplikasi online yang membantu menabung mengatur keuangan top dan transfer ke semua rekening tanpa biaya tambahan mempermudah kita dimana pun kapan pun kita berada karena aplikasi ini menggunakan ponsel mempermudah pengguna dan cara pakai nya juga tidak rumit,5,positive,positive,score_augmented
"Udah call cs nya tapi tetap aja gk bs, bahkan cs nya sendiri juga bingung, ini gk ada niat perbaiki aplikasi nya gitu??",udah call c nya tapi tetap aja gk b bahkan c nya sendiri juga bingung ini gk ada niat perbaiki aplikasi nya gitu,1,negative,negative,score_augmented
OTPnya nggak masuk-masuk min...,otpnya nggak masukmasuk min,2,negative,negative,score_augmented
Aplikasi perbankan online yang seru dan mudah,aplikasi perbankan online yang seru dan mudah,5,positive,positive,score_augmented
"Fitur dari aplikasi sudah baik, namun sangat disayangkan untuk load sangat lambat, bahkan sering crash, saya pakai vivo v9 4/128 snapdragon koneksi router asus ROG speed isp 300mbps. Bug pada aplikasi sangat banyak...",fitur dari aplikasi sudah baik namun sangat disayangkan untuk load sangat lambat bahkan sering crash saya pakai vivo v snapdragon koneksi router asus rog speed isp mbps bug pada aplikasi sangat banyak,1,negative,negative,score_augmented
"Today (24/3/23) This morning i still can ise jenius, but now the apps crashing.. loading then force close.. would you mind to fix the issue.. this makes user uncomfortable 🙏",today morning still ise jenius apps crashing loading force close would mind fix issue make user uncomfortable,1,negative,negative,score_augmented
"Ini gimana ya jenius Masa mau log in dari device baru sulit banget. Berkali kali (baca : lebih dari 10x) log in, ujung2 nya your session has expired Lahh 😶😶😶",ini gimana ya jenius masa mau log dari device baru sulit banget berkali kali baca lebih dari x log ujung nya session expired lahh,1,negative,negative,score_augmented
Love this application.. it made easier..,love application made easier,5,positive,positive,score_augmented
"Horrible UX. Stumbled upon a lot of errors, but the error message does not explain anything in detail. E.g, I wanted to switch device, the app gives an ""session expired"" error in new device, which does not make any sense. After searching online, I figured out that you can only link 1 device (should've just mentioned this as the error message, why give a totally unrelated error message?). Then I tried finding my old phone, tried unlinking, but it just gives off another error asking me to call CS.",horrible ux stumbled upon lot error error message explain anything detail eg wanted switch device app give session expired error new device make sense searching online figured link device shouldve mentioned error message give totally unrelated error message tried finding old phone tried unlinking give another error asking call c,1,negative,negative,score_augmented
My grandmother run better than this app please do some upgrade Note: they are now running better than my grandmother,grandmother run better app please upgrade note running better grandmother,4,positive,positive,score_augmented
review update after 4yrs using jenius: this app is good but it keeps on charging me IDR 5k for every declined transaction. this is very annoying. most of the time i already moved my funds from save it to my main account but the fund switch process LAGS (even when it says fund switching is successful!) that the payment request from e-commerce got to jenius first before the fund actually finished switching. this is not fair to the customers. im not doing transactions with jenius anymore.,review update yr using jenius app good keep charging idr k every declined transaction annoying time already moved fund save main account fund switch process lag even say fund switching successful payment request ecommerce got jenius first fund actually finished switching fair customer im transaction jenius anymore,2,negative,negative,score_augmented
"I need to address this. SMBC Jenius, please FIX! your system especially on FlexiCash. It's getting annoying how you spam called us before the auto payment date arrives or even late. And your app is gradually getting slower to respond. Fix it!",need address smbc jenius please fix system especially flexicash getting annoying spam called u auto payment date arrives even late app gradually getting slower respond fix,2,negative,negative,score_augmented
Ada fitur virtual card 👍,ada fitur virtual card,4,positive,positive,score_augmented
"After latest update (dec 2023), this app turned unusable. Whenever I try to open the app, it managed to open the jenius logo screen before closing itself & wouldn't go past this logo screen when tried again 🙄 Tried several times after cleaning cache, same outcomes. Tried fresh install, same outcomes. For comparison, I also used apps from other banks (after pulling my hairs out trying to open this app) and they're all working alright, only jenius acted this way smh. This is the last straw 👋",latest update dec app turned unusable whenever try open app managed open jenius logo screen closing wouldnt go past logo screen tried tried several time cleaning cache outcome tried fresh install outcome comparison also used apps bank pulling hair trying open app theyre working alright jenius acted way smh last straw,1,negative,negative,score_augmented
"aplikasinya sangat mudah untuk diaktivasikan, bener-bener definisi e-wallet yang sangat beneficial! dan pastinya sangat safe.",aplikasinya sangat mudah untuk diaktivasikan benerbener definisi ewallet yang sangat beneficial dan pastinya sangat safe,5,positive,positive,score_augmented
Pelayanan cs tidak gercep… selemot dan seribet aplikasinya. Mau ganti perangkat saja 1 jam telp dan chat ga beres beres..sering di off sepihak. Jauuuhhhh dr BC*. Masih cs hana bank lbh bagus,pelayanan c tidak gercep selemot dan seribet aplikasinya mau ganti perangkat saja jam telp dan chat ga beres beressering di sepihak jauuuhhhh dr bc masih c hana bank lbh bagus,1,negative,negative,score_augmented
Customer service JENIUS SANGAT BAIK HATI DAN SABAR. 👍👍👍 saya AM mohon maaf jika saya merepotkan atas kendala yang saya alami. Terima kasih atas kerja keras dan bantuan dari tim JENIUS semoga akan berjaya dengan pelayanan yang bertambah baik.👍👍👍 saya harap JENIUS menjadi media keuangan yang terbaik untuk masyarakat lokal hingga internasional👍👍👍,customer service jenius sangat baik hati dan sabar saya mohon maaf jika saya merepotkan atas kendala yang saya alami terima kasih atas kerja kera dan bantuan dari tim jenius semoga akan berjaya dengan pelayanan yang bertambah baik saya harap jenius menjadi medium keuangan yang terbaik untuk masyarakat lokal hingga internasional,5,positive,positive,score_augmented
Unlink device take too much time and cost,unlink device take much time cost,1,negative,negative,score_augmented
Aplikasinya bagus banget dan bikin aku makin rajin buat menabung. Makasih jenius!,aplikasinya bagus banget dan bikin aku makin rajin buat menabung makasih jenius,5,positive,positive,score_augmented
Update tampilan terbaru malah membuat aplikasi banyak loading dan error.,update tampilan terbaru malah membuat aplikasi banyak loading dan error,1,negative,negative,score_augmented
"Aplikasi ini sangat mudah digunakan dan sangat membantu saya dalam transaksi online dimanapun, saya juga bisa top up e wallet saya maupun Spotify atau netflix saya dengan mudah dan cepat.",aplikasi ini sangat mudah digunakan dan sangat membantu saya dalam transaksi online dimanapun saya juga bisa top e wallet saya maupun spotify atau netflix saya dengan mudah dan cepat,5,positive,positive,score_augmented
"Dengan mobile banking jenius, kita bisa bayar langganan netflix dan spotify dengan gampang.. Top banget deehhh",dengan mobile banking jenius kita bisa bayar langganan netflix dan spotify dengan gampang top banget deehhh,5,positive,positive,score_augmented
"Pelayanan tambah jelek. Mau ganti ATM aja susahnya minta ampun. Disuruh datang langsung ke cabang, please deh, kayak cabangnya banyak aja. Mungkin banyak FRAUD kali ya di BTPN sehingga verifikasinya aja seketat itu. Belum lagi ada biaya 50,000 buat ganti kartu. Parah. Fix uninstall. Buh-bye Jenius!",pelayanan tambah jelek mau ganti atm aja susahnya minta ampun disuruh datang langsung ke cabang please deh kayak cabangnya banyak aja mungkin banyak fraud kali ya di btpn sehingga verifikasinya aja seketat itu belum lagi ada biaya buat ganti kartu parah fix uninstall buhbye jenius,1,negative,negative,score_augmented
Can't use the card for grabfood and foodpanda,cant use card grabfood foodpanda,1,negative,negative,score_augmented
slow loading is the only reason why I left this application and move to the other bank platform.,slow loading reason left application move bank platform,2,negative,negative,score_augmented
Kalau belum siap pakai identifikasi wajah kenapa maksa dipakai sih. Mau unlink device ribet bener.,kalau belum siap pakai identifikasi wajah kenapa maksa dipakai sih mau unlink device ribet bener,1,negative,negative,score_augmented
Aplikasi financial berbasis online ini sangat mudah digunakan dengan UI UX yang simple,aplikasi financial berbasis online ini sangat mudah digunakan dengan ui ux yang simple,5,positive,positive,score_augmented
"Aduh, sampai ketiduran nih nunggu loading nya jenius. Lambat banget buka app-nya.",aduh sampai ketiduran nih nunggu loading nya jenius lambat banget buka appnya,1,negative,negative,score_augmented
"Aktivasi akun mudah, tidak repot ke bank",aktivasi akun mudah tidak repot ke bank,5,positive,positive,score_augmented
Aplikasi Jenius bagus banget. Mobile Banking yang mantap. Di Jenius bisa menabung pakai fitur deposito flexi dan yang maksimalnya pakai fitur deposito maxi. Top up e wallet juga free! mantap!,aplikasi jenius bagus banget mobile banking yang mantap di jenius bisa menabung pakai fitur deposito flexi dan yang maksimalnya pakai fitur deposito maxi top e wallet juga free mantap,1,negative,negative,score_augmented
This is very useful apps I've ever known!!,useful apps ive ever known,5,positive,positive,score_augmented
"nih aplikasi keren parah sih, UI UX simple bikin mata adem, trus kalau mau nabung juga bisa disini, mau beli netflix sama spotify juga jadi gampang sekarang.",nih aplikasi keren parah sih ui ux simple bikin mata adem trus kalau mau nabung juga bisa disini mau beli netflix sama spotify juga jadi gampang sekarang,5,positive,positive,score_augmented
Aplikasi yang sangat membantu dalam transaksi,aplikasi yang sangat membantu dalam transaksi,5,positive,positive,score_augmented
Very slow when I am very in need of its service,slow need service,1,negative,negative,score_augmented
Sangat keren dan fungsional,sangat keren dan fungsional,5,positive,positive,score_augmented
"Sangat menarik, top up mudah menggunakan jenius..",sangat menarik top mudah menggunakan jenius,5,positive,positive,score_augmented
"Jenius jadi salah satu go to banget buat bayar Netflix, Spotify ataupun top up e wallet. Fiturnya gampang banget jadi menabung pun ga susah!",jenius jadi salah satu go banget buat bayar netflix spotify ataupun top e wallet fiturnya gampang banget jadi menabung pun ga susah,5,positive,positive,score_augmented
"aplikasinya bagus banget terus UI dan UXnya simpel dan mudah dimengerti, intinya bgus banget deh buat yang ngga suka ribet",aplikasinya bagus banget terus ui dan uxnya simpel dan mudah dimengerti intinya bgus banget deh buat yang ngga suka ribet,5,positive,positive,score_augmented
"CS SUPER TOLOL DAN TIDAK MENJAWAB PERTANYAAN, MUTER2 DOANG KAYA KIPAS ANGIN",c super tolol dan tidak menjawab pertanyaan muter doang kaya kipas angin,1,negative,negative,score_augmented
Tolong loading mau transfer lama dan lemot. Buka dashboard abis login juga sangat lambat. Digital banking activities should be done in a blink.,tolong loading mau transfer lama dan lemot buka dashboard abis login juga sangat lambat digital banking activity done blink,1,negative,negative,score_augmented
Aplikasi perbankan yang mudah dimengerti. Bisa isi ovo gak pake ribet,aplikasi perbankan yang mudah dimengerti bisa isi ovo gak pake ribet,5,positive,positive,score_augmented
"just 1 feedback. when people change phone to login, dont say ""session expired"" but say ""your account is still linked with other phone, please unlink first before login with this phone"" Since many people confused about it...",feedback people change phone login dont say session expired say account still linked phone please unlink first login phone since many people confused,4,positive,positive,score_augmented
Lemot,lemot,1,negative,negative,score_augmented
Terlalu banyak penarikan uang untuk tex dan feesible,terlalu banyak penarikan uang untuk tex dan feesible,1,negative,negative,score_augmented
"aktivasinya gampang, gampang bgt buat org2 yg mau menabung di e-wallet dan untuk membayar aplikasi2 seperti topup netflix dan spotify.",aktivasinya gampang gampang bgt buat org yg mau menabung di ewallet dan untuk membayar aplikasi seperti topup netflix dan spotify,5,positive,positive,score_augmented
Feesible ga ada pemutihan ngeri kali mau pakai lagi 2 THN ga di pakai fee nya akumulasi.. Naroh duit bs² 200-300 RB an ke ambil.,feesible ga ada pemutihan ngeri kali mau pakai lagi thn ga di pakai fee nya akumulasi naroh duit b rb ke ambil,1,negative,negative,score_augmented
"History transaksi saya hilang. Cuma bisa dilihat 43 transaksi sampai dengan bulan November 2023 (saya ketik ini di bulan Desember 2023). Coba chat jenius crew, disuruh nunggu terus",history transaksi saya hilang cuma bisa dilihat transaksi sampai dengan bulan november saya ketik ini di bulan desember coba chat jenius crew disuruh nunggu terus,1,negative,negative,score_augmented
"Thank you , this apps make me have fun and have some important experience",thank apps make fun important experience,5,positive,positive,score_augmented
Tolong di maintenance agar aplikasinya lebih sat set sat set ga lemot,tolong di maintenance agar aplikasinya lebih sat set sat set ga lemot,4,positive,positive,score_augmented
"Ga bisa login, mau login pun harus telpon CS yang nyedot pulsa... Nama doang Jenius, aslinya Idiot",ga bisa login mau login pun harus telpon c yang nyedot pulsa nama doang jenius aslinya idiot,1,negative,negative,score_augmented
Semakin kesini udah mulai enak digunain,semakin kesini udah mulai enak digunain,5,positive,positive,score_augmented
"Aplikasi mobile banking yang mudah digunakan. Aktivasi juga mudah. Bisa bayar spotify dan netflix juga lewat aplikasi ini, keren deh👍",aplikasi mobile banking yang mudah digunakan aktivasi juga mudah bisa bayar spotify dan netflix juga lewat aplikasi ini keren deh,5,positive,positive,score_augmented
Loading time masih agak lambat tapi sudah jauh lebih baik. Semoga sukses selalu Jenius.,loading time masih agak lambat tapi sudah jauh lebih baik semoga sukses selalu jenius,4,positive,positive,score_augmented
"aplikasi yang ui/ux-nya simple banget jadi mudah sekali buat pengguna baru, aktivasinya juga gak ribet. yang aku suka bisa buat bayar netflix juga",aplikasi yang uiuxnya simple banget jadi mudah sekali buat pengguna baru aktivasinya juga gak ribet yang aku suka bisa buat bayar netflix juga,5,positive,positive,score_augmented
Keren nih aplikasinya.. mantappp,keren nih aplikasinya mantappp,5,positive,positive,score_augmented
"Couldn't log in into the app and when i call the Customer service, they couldn't retrieve my data and troubleshoot the problem. Please fix this",couldnt log app call customer service couldnt retrieve data troubleshoot problem please fix,1,negative,negative,score_augmented
Bank ampas Gada apa² akun tiba² kena blokir+duit lenyap Udh veriv apa aja tetep aja ga kebuka Ngga recomend buat yg mau daftar nih bank,bank ampas gada apa akun tiba kena blokirduit lenyap udh veriv apa aja tetep aja ga kebuka ngga recomend buat yg mau daftar nih bank,1,negative,negative,score_augmented
"Aplikasi e wallet yang nyaman dipakai, mudah juga untuk aktivasi, nggak ribet👍🏻👍🏻",aplikasi e wallet yang nyaman dipakai mudah juga untuk aktivasi nggak ribet,5,positive,positive,score_augmented
Why cannot login? Since last night. Tried login. And this morning always stuck on the PIN and fingerprint screen. No respond after every login attempt,cannot login since last night tried login morning always stuck pin fingerprint screen respond every login attempt,2,negative,negative,score_augmented
notifikasi promosi dalam sehari banyak banget. lebih dari 5 kali. sementara notifikasi pemotongan saldo via apps dan email nggak lagi muncul sejak awal desember meski di apps-nya telah diaktifkan dan disave. pihak jenius perlu melakukan sesuatu secara efektif. tolong jangan beri solusi template seperti install ulang dll.,notifikasi promosi dalam sehari banyak banget lebih dari kali sementara notifikasi pemotongan saldo via apps dan email nggak lagi muncul sejak awal desember meski di appsnya telah diaktifkan dan disave pihak jenius perlu melakukan sesuatu secara efektif tolong jangan beri solusi template seperti install ulang dll,1,negative,negative,score_augmented
"Secara fitur bagus, ui tidak buruk, tapi performance/kecepatan sangat jelek...",secara fitur bagus ui tidak buruk tapi performancekecepatan sangat jelek,3,neutral,neutral,score_augmented
Error when everytime i tried to open credit card detail,error everytime tried open credit card detail,1,negative,negative,score_augmented
Aplikasinya bagus saya sukas sangat membantu 👍,aplikasinya bagus saya sukas sangat membantu,5,positive,positive,score_augmented
"Aplikasi perbankan yang sangat bagus, sangat mudah buat top up shopeepay, dana, fitur mbanking yang bagus!! Good job Jenius.",aplikasi perbankan yang sangat bagus sangat mudah buat top shopeepay dana fitur mbanking yang bagus good job jenius,5,positive,positive,score_augmented
"Call centre tidak dapat dihubungi, live chat jenius tidak berfungsi. Nomor call centre tidak terdaftar. Sangat mengecewakan",call centre tidak dapat dihubungi live chat jenius tidak berfungsi nomor call centre tidak terdaftar sangat mengecewakan,1,negative,negative,score_augmented
"aplikasi digital yang sangat membantu pelajar di era digital ini 🔥 , pertahankan 😇",aplikasi digital yang sangat membantu pelajar di era digital ini pertahankan,5,positive,positive,score_augmented
"Mau login kok tulisannya, sesi telah berakhir kamu otomatis logout?? Kenapa ya?",mau login kok tulisannya sesi telah berakhir kamu otomatis logout kenapa ya,2,negative,negative,score_augmented
"Aplikasinya lagi ga bagus di versi ini. Mau login ga bisa, malah selalu session expired mulu. Maunya gimana lagi ini ?!",aplikasinya lagi ga bagus di versi ini mau login ga bisa malah selalu session expired mulu maunya gimana lagi ini,1,negative,negative,score_augmented
ribet bgt. mau unlink device lama. udh jelas email dan notel punya saya pribadi. sangat disusahkan klo kasusnya hp lamanya rusak.,ribet bgt mau unlink device lama udh jelas email dan notel punya saya pribadi sangat disusahkan klo kasusnya hp lamanya rusak,1,negative,negative,score_augmented
"makin hari makin buruk sistem tiap melakukan penarikan gagal, ajukan flexicash gagal, melakukan penjualan usd gagal selama 5 hari, chat live chat solusi cm update versi terbaru, gw sampai ganti hp baru buat login tetap saja sama hasilnya... sistem admin livechat tidak ada solusinya.. pelayanan juga menurun tidak seperti dulu kwalitas app skrg sangat sangat buruk",makin hari makin buruk sistem tiap melakukan penarikan gagal ajukan flexicash gagal melakukan penjualan usd gagal selama hari chat live chat solusi cm update versi terbaru gw sampai ganti hp baru buat login tetap saja sama hasilnya sistem admin livechat tidak ada solusinya pelayanan juga menurun tidak seperti dulu kwalitas app skrg sangat sangat buruk,1,negative,negative,score_augmented
giliran nabung langsung feesable 120rb terima kasih menjadi bank digital pertama yang memotong uang saya secara langsung berfikir lagi untuk daftar dan terima tawaran dari apk ini,giliran nabung langsung feesable rb terima kasih menjadi bank digital pertama yang memotong uang saya secara langsung berfikir lagi untuk daftar dan terima tawaran dari apk ini,1,negative,negative,score_augmented
"Aplikasinya bagus banget mudah digunakan. Keep it up, Jenius!!",aplikasinya bagus banget mudah digunakan keep jenius,5,positive,positive,score_augmented
"Enak banget nabung pake jenius, bisa ploting sesuai tujuan menabung",enak banget nabung pake jenius bisa ploting sesuai tujuan menabung,5,positive,positive,score_augmented
so baddd,baddd,1,negative,negative,score_augmented
Jenius has simple online account management tools and a highly rated mobile,jenius simple online account management tool highly rated mobile,5,positive,positive,score_augmented
Kereeen,kereeen,5,positive,positive,score_augmented
aplikasi terbaik ini pokoknya,aplikasi terbaik ini pokoknya,5,positive,positive,score_augmented
Bli di tiktok shop duitnya gak tw nyangkut di mana 😌,bli di tiktok shop duitnya gak tw nyangkut di mana,1,negative,negative,score_augmented
"Jenius makin keren sekali, aplikasinya mantap!!",jenius makin keren sekali aplikasinya mantap,5,positive,positive,score_augmented
"ga jelas banget ga bisa login di device baru, error seesion expired mulu. GA JELAS WOI. bikin aplikasi perbankan yang bener dong.",ga jelas banget ga bisa login di device baru error seesion expired mulu ga jelas woi bikin aplikasi perbankan yang bener dong,1,negative,negative,score_augmented
"I can use Flexi Saver!!☺️😊 Such an easy ways to spend more money on savings, thank you!",use flexi saver easy way spend money saving thank,5,positive,positive,score_augmented
"Makasih, jenius, utk bbrp thn ini.. Punya jenius dr msh blm ada charge 10rb/bln, inget bgt bikin di bdg dan jd senenggg bgt hr itu. Tp br 10 mnt lalu mindahin semua saldo ke bank lain. Keluhan2 nasabah jenius belakangan ini bikin aku parno smp bnr2 mutusin g mau lanjut sama jenius. Tp selama ini cenderung baik2 aja kok (kecuali live chat lol). Cm kl km jahat, aku bs apa yakan. Ky korban2 itu aja. Chance jenius jd evil makin gede. Better end it now than waiting until it happen to me later. Bye 🙌",makasih jenius utk bbrp thn ini punya jenius dr msh blm ada charge rbbln inget bgt bikin di bdg dan jd senenggg bgt hr itu tp br mnt lalu mindahin semua saldo ke bank lain keluhan nasabah jenius belakangan ini bikin aku parno smp bnr mutusin g mau lanjut sama jenius tp selama ini cenderung baik aja kok kecuali live chat lol cm kl km jahat aku b apa yakan ky korban itu aja chance jenius jd evil makin gede better end waiting happen later bye,4,positive,positive,score_augmented
"gk sesuai nama, gk jenius",gk sesuai nama gk jenius,1,negative,negative,score_augmented
"Fiturnya Jenius keren banget. Ngebanti aku banget dalam mengatur keuangan, transfer ke bank lain gampang, top up e-wallet juga mudah. Tampilan aplikasinya oke dan mudah dipahami dan digunakan.",fiturnya jenius keren banget ngebanti aku banget dalam mengatur keuangan transfer ke bank lain gampang top ewallet juga mudah tampilan aplikasinya oke dan mudah dipahami dan digunakan,5,positive,positive,score_augmented
"Nelpon cs ga available karna penuh. Wasting time banget harus ke bank btpn. hp satu mati total akhirnya bank ga bisa diakses!!! harus manual log out via telpon cs via telpon telpon ulang ulang selalu ga bisa, mana harus di hari Senin sampe Jumat lagi. hai kamu belum menentukan pilihan, jenius lagi sibuk, telpon bentar lagi. begitu dapat verifikasi email harus cepat dan Senin sampe Jumat lagi sedangkan email dikirim mendekati weekend. mengesalkan sekali, pulsa habis 50k ga kelar",nelpon c ga available karna penuh wasting time banget harus ke bank btpn hp satu mati total akhirnya bank ga bisa diakses harus manual log via telpon c via telpon telpon ulang ulang selalu ga bisa mana harus di hari senin sampe jumat lagi hai kamu belum menentukan pilihan jenius lagi sibuk telpon bentar lagi begitu dapat verifikasi email harus cepat dan senin sampe jumat lagi sedangkan email dikirim mendekati weekend mengesalkan sekali pulsa habis k ga kelar,1,negative,negative,score_augmented
"Setelah step membuat pin, terus LOGIN EXPIRED, dst-nya sampe battery abis begitu terus... tolong perbaiki bug di aplikasinya u/ android versi 11",setelah step membuat pin terus login expired dstnya sampe battery abis begitu terus tolong perbaiki bug di aplikasinya u android versi,1,negative,negative,score_augmented
"Aplikasi m-banking yang mudah digunakan. Saya bisa top up ke banyak e-wallet hanya dengan 1 aplikasi dan transfer ke bank lain secara gratis. Fitur pengelolaan keuangannya sangat bagus, pembayaran tagihan saya menjadi lebih mudah seperti internet, listrik, atau bahkan isi ulang akun Spotify dan Netflix saya. Sangat membantu saya selama pandemi ini untuk melakukan transaksi online kapanpun dimanapun.",aplikasi mbanking yang mudah digunakan saya bisa top ke banyak ewallet hanya dengan aplikasi dan transfer ke bank lain secara gratis fitur pengelolaan keuangannya sangat bagus pembayaran tagihan saya menjadi lebih mudah seperti internet listrik atau bahkan isi ulang akun spotify dan netflix saya sangat membantu saya selama pandemi ini untuk melakukan transaksi online kapanpun dimanapun,5,positive,positive,score_augmented
"Aplikasi ribet cs tidak membantu, mau nutup saja di persulit sampe skrg, hati2 jangan pernah daftar menyesal sekali!",aplikasi ribet c tidak membantu mau nutup saja di persulit sampe skrg hati jangan pernah daftar menyesal sekali,1,negative,negative,score_augmented
"Aplikasi yang sangat membantu, apalagi buat saya yang ingin menabung.",aplikasi yang sangat membantu apalagi buat saya yang ingin menabung,5,positive,positive,score_augmented
So slow.,slow,3,neutral,neutral,score_augmented
Kenapa ngedetect malware terus padahal ini HP bersih,kenapa ngedetect malware terus padahal ini hp bersih,3,neutral,neutral,score_augmented
Sya telpon cs jenius malah dikasih informasi yg bertele2 selama setengah menit pertama. Saat sudah lama menunggu ternyata antrian panjang dan tidak bisa. Telpon ke 2 berhasil terhubung dgn cs tapi pas sudah verifikasi data bilangnya servernya terganggu dan disuruh telpon lain hari. Sedikan pulsa min 50rb untuk telpon CS jenius dan dengarkan info yg tidak penting. Aplikasi juga sering tidak bisa memasukan PIN dan error. Sangat Tidak professional.,sya telpon c jenius malah dikasih informasi yg bertele selama setengah menit pertama saat sudah lama menunggu ternyata antrian panjang dan tidak bisa telpon ke berhasil terhubung dgn c tapi pa sudah verifikasi data bilangnya servernya terganggu dan disuruh telpon lain hari sedikan pulsa min rb untuk telpon c jenius dan dengarkan info yg tidak penting aplikasi juga sering tidak bisa memasukan pin dan error sangat tidak professional,1,negative,negative,score_augmented
"Worst user experience ever, laggy, absolute nightmare if you had a chance to use chat features.",worst user experience ever laggy absolute nightmare chance use chat feature,1,negative,negative,score_augmented
"Aktivasi mudah, serba online, aplikasi bank online",aktivasi mudah serba online aplikasi bank online,5,positive,positive,score_augmented
"The app is verrrryyyyy slow compared to other similar app. Hope you can fix it soon. Btw, why the 5-star reviews here looks like they are not real reviews... Anyway, setiap mau bayar QR pake Jenius, grogi rasanya ditungguin antrian di belakang...buka menu QR lama, bayar juga lama. Jauh speednya sama bayar QR pake Gopay.",app verrrryyyyy slow compared similar app hope fix soon btw star review look like real review anyway setiap mau bayar qr pake jenius grogi rasanya ditungguin antrian di belakangbuka menu qr lama bayar juga lama jauh speednya sama bayar qr pake gopay,1,negative,negative,score_augmented
"Hai, saya berhenti pake Jenius karena ada yg punya ide jenius utk kasih 2x popup setiap kali buka app. Iya, sesimpel itu alasan saya. Terima kasih atas layanannya selama ini ya.",hai saya berhenti pake jenius karena ada yg punya ide jenius utk kasih x popup setiap kali buka app iya sesimpel itu alasan saya terima kasih atas layanannya selama ini ya,2,negative,negative,score_augmented
"Error trus tiap login, sudah dicoba berhari-hari",error trus tiap login sudah dicoba berharihari,1,negative,negative,score_augmented
"Can't Login, Alwayss Session Time Out when already setting PIN",cant login alwayss session time already setting pin,1,negative,negative,score_augmented
TOLONG DIPERBAIKI RESPON APLIKASINYA!!!!,tolong diperbaiki respon aplikasinya,1,negative,negative,score_augmented
Worst,worst,1,negative,negative,score_augmented
Lemot banget dari tahun lalu,lemot banget dari tahun lalu,1,negative,negative,score_augmented
"Log in gabisa, nelpon CS ga dibantu, service point LANGKA. Jenius sebelah mananya sih? :(",log gabisa nelpon c ga dibantu service point langka jenius sebelah mananya sih,1,negative,negative,score_augmented
Cant access my account after move device,cant access account move device,1,negative,negative,score_augmented
"unable to login, keep telling my session has expired.. please fix this",unable login keep telling session expired please fix,1,negative,negative,score_augmented
"Selalu terjadi kesalahan aneh, gabisa login sama sekali",selalu terjadi kesalahan aneh gabisa login sama sekali,1,negative,negative,score_augmented
"Keren banget, sangat membantu dan memudahkan untuk transaksi online tanpa ribet dan terpercaya.... Recommended sekali!",keren banget sangat membantu dan memudahkan untuk transaksi online tanpa ribet dan terpercaya recommended sekali,5,positive,positive,score_augmented
Aplikasinya bagus banger sangat membantu pokoknya mudah banget deh aplikasinya di gunain,aplikasinya bagus banger sangat membantu pokoknya mudah banget deh aplikasinya di gunain,5,positive,positive,score_augmented
session expired?,session expired,1,negative,negative,score_augmented
Performa aplikasi super lemot. Gak tahan. Saatnya pindah ke sebelah. Jauhhh banget bedanya,performa aplikasi super lemot gak tahan saatnya pindah ke sebelah jauhhh banget bedanya,2,negative,negative,score_augmented
duit saya hilang terus,duit saya hilang terus,1,negative,negative,score_augmented
Can't login after updating the app. Went to the website to find out it's going through maintenance. Now I have no access whatsoever to my account. Give me back the jenius!,cant login updating app went website find going maintenance access whatsoever account give back jenius,1,negative,negative,score_augmented
