content,cleaned_content,score,sentiment,label_used
"SANGAT MENGECEWAKAN!!! CS bernama evril memutuskan secara sepihak chat yang sedang berlangsung, pada saat saya masih merespon di bawah 1 menit",sangat mengecewakan c bernama evril memutuskan secara sepihak chat yang sedang berlangsung pada saat saya masih merespon di bawah menit,1,negative,negative
"Saya kecewa dengan pelayanannya akhir2 ini. Kok bisa2nya apk chatnya (jenius help) tidak berjalan dengan baik. Tidak ada respon dari crew, dan apk langsung tertutup. Intinya performa saat ini sangat buruk. Kalo bisa diberi tanpa bintang, saya malah lebih memilih itu.",saya kecewa dengan pelayanannya akhir ini kok bisanya apk chatnya jenius help tidak berjalan dengan baik tidak ada respon dari crew dan apk langsung tertutup intinya performa saat ini sangat buruk kalo bisa diberi tanpa bintang saya malah lebih memilih itu,1,negative,negative
overall app performance is agonizingly slow,overall app performance agonizingly slow,1,negative,negative
"Aplikasi mudah digunakan, kemanan terjamin, yang paling penting.. kalo ada apa-apa langsung ditangani:) thanks jenius",aplikasi mudah digunakan kemanan terjamin yang paling penting kalo ada apaapa langsung ditangani thanks jenius,5,positive,positive
Aplikasi perbankan paling baik.. sangat mudah digunakan dan mudah dimengerti,aplikasi perbankan paling baik sangat mudah digunakan dan mudah dimengerti,5,positive,positive
"Pasword selalu error ketika mau tranfer, dan selalu automatic log out ketika mau direset pasword (forget password)",pasword selalu error ketika mau tranfer dan selalu automatic log ketika mau direset pasword forget password,1,negative,negative
"Setelah aktivasi lewat video call, dapat email bahwa persyaratan kurang, padahal saya mengisi persyaratan sudah cukup, hanya tinggal NPWP (karena bisa di submit setelah sekitar 14 hari setelah nya). Saat saya coba tanya via chat in app, tiba-tiba saya ter-log out dan tidak bisa log in kembali.",setelah aktivasi lewat video call dapat email bahwa persyaratan kurang padahal saya mengisi persyaratan sudah cukup hanya tinggal npwp karena bisa di submit setelah sekitar hari setelah nya saat saya coba tanya via chat app tibatiba saya terlog dan tidak bisa log kembali,1,negative,negative
Performa aplikasi super lemot. Gak tahan. Saatnya pindah ke sebelah. Jauhhh banget bedanya,performa aplikasi super lemot gak tahan saatnya pindah ke sebelah jauhhh banget bedanya,2,negative,negative
"aplikasi mantap, mudah saat aktivasi dan menabung.",aplikasi mantap mudah saat aktivasi dan menabung,5,positive,positive
"salah satu bank digital favorite, aplikasinya mudah digunakan user friendly bangeet",salah satu bank digital favorite aplikasinya mudah digunakan user friendly bangeet,5,positive,positive
rekomendasi e wallet terkeren dan terpercaya!! suka banget,rekomendasi e wallet terkeren dan terpercaya suka banget,5,positive,positive
"Aplikasi financial terbaik yang pernah saya pakai, memudahkan untuk menabung uang saya, keren pokoknya👍🏿",aplikasi financial terbaik yang pernah saya pakai memudahkan untuk menabung uang saya keren pokoknya,5,positive,positive
Berikan opsi mematikan notifikasi promosi.,berikan opsi mematikan notifikasi promosi,1,negative,negative
Bagus banget dan memudahkan untuk pesan pesan..,bagus banget dan memudahkan untuk pesan pesan,5,positive,positive
"It's good, the features are excellent. But the app once again, it's very laggy, sometime take a very long minute just to transfer the money. Please fix this issue.",good feature excellent app laggy sometime take long minute transfer money please fix issue,3,neutral,neutral
Sering crash pas masuk 🥵🥵,sering crash pa masuk,1,negative,negative
"The app is getting more slow, and I can't open transaction history even less than 6 months ago",app getting slow cant open transaction history even less month ago,2,negative,negative
Force close when i try to check cards tab.when i click the card image then suddenly the app went close by itself.please fix this problem ASAP..,force close try check card tabwhen click card image suddenly app went close itselfplease fix problem asap,3,neutral,neutral
"So frustrating. I cant even log in to my account, it says ""your session us already expired"". Do something about it.",frustrating cant even log account say session u already expired something,2,negative,negative
"Dari berbagai rekening yang saya punya baru ini yang menyediakan Virtual Visa/MasterCard Debit. Jadi kalau ada kebutuhan yang perlu menggunakan CC/DC saya bisa dengan mudah bertransaksi. Cuma sayang setelah upgrade apknya jadi cukup berat ya, semoga kedepannya bisa dioptimasi kembali. Edit: Aplikasinya masih berat aja ini brow.. kalah sama bank lain yang wush wush wush, upgrade dong biar wush wush wush",dari berbagai rekening yang saya punya baru ini yang menyediakan virtual visamastercard debit jadi kalau ada kebutuhan yang perlu menggunakan ccdc saya bisa dengan mudah bertransaksi cuma sayang setelah upgrade apknya jadi cukup berat ya semoga kedepannya bisa dioptimasi kembali edit aplikasinya masih berat aja ini brow kalah sama bank lain yang wush wush wush upgrade dong biar wush wush wush,1,negative,negative
Aplikasi menabung yg bagus banget. Jujur ini mAh. Sangat membantu sekali. Thanks jenius,aplikasi menabung yg bagus banget jujur ini mah sangat membantu sekali thanks jenius,5,positive,positive
Help me placing google ads and fb ig ads,help placing google ad fb ig ad,5,positive,positive
"Salah satu aplikasi e wallet terbaik saat, kemudahan dalam bertransaksi seperti untuk kebutuhan top up, netflix, spotify dan masih banyak lagi.",salah satu aplikasi e wallet terbaik saat kemudahan dalam bertransaksi seperti untuk kebutuhan top netflix spotify dan masih banyak lagi,5,positive,positive
"Hati2 data kalian, aktivasi udah via video call malah ditolak ujung2nya.. cari bank lain aja",hati data kalian aktivasi udah via video call malah ditolak ujungnya cari bank lain aja,1,negative,negative
"Tiba2 terlogout dan tidak bs login lagi, harus reset password dan create pin! TAPI selalu dibilang session expiry, udah coba 3x nih..!",tiba terlogout dan tidak b login lagi harus reset password dan create pin tapi selalu dibilang session expiry udah coba x nih,1,negative,negative
Aplikasi digital yang memudahkan dalam transaksi contohnya top up. Jadi lebih mudah,aplikasi digital yang memudahkan dalam transaksi contohnya top jadi lebih mudah,5,positive,positive
Lama ngga pake karena denger banyak yang komplain tapi tetep mau coba pakai lagi siapa tau sudah diperbaiki. Eh malah ternyata sekarang cuman bisa login di 1 HP dan kalau mau pindah ribet banget. Disuruh scan muka tapi tombolnya ngga ada di aplikasi. Telpon CS lama bgt endingnya di hang up oleh system. Chat admin juga ngga ada agent yg nanggepin. Jenius? Bukan.,lama ngga pake karena denger banyak yang komplain tapi tetep mau coba pakai lagi siapa tau sudah diperbaiki eh malah ternyata sekarang cuman bisa login di hp dan kalau mau pindah ribet banget disuruh scan muka tapi tombolnya ngga ada di aplikasi telpon c lama bgt endingnya di hang oleh system chat admin juga ngga ada agent yg nanggepin jenius bukan,1,negative,negative
"promosiin yg jujur, ktnya nnti ada saldo lah atau voucher apa lah bisa nntn bioskop tp mana? ga ada. udh wasting time bgt kmrn buru2 pulang tp dijegat, motong saldo gw jg buat tf. yg jujur lah.",promosiin yg jujur ktnya nnti ada saldo lah atau voucher apa lah bisa nntn bioskop tp mana ga ada udh wasting time bgt kmrn buru pulang tp dijegat motong saldo gw jg buat tf yg jujur lah,1,negative,negative
"Gabisa bikin cvv e-card, udah kena fee 50k padahal",gabisa bikin cvv ecard udah kena fee k padahal,1,negative,negative
Makin mengecewakan aja nih Jenius. sekarang Flexi Cash ada service fee nya 2% dah gitu kalo mau lunasin duluan pinjeman di Flexi Cash kena lagi Pay Early Fee Rp 100.000 yang bener ajalah jangan nyusahin nasabah. padahal dulu ga ada fee fee-an itu dengan maximal pelunasan 2x sebulan. sekarang? dipersulit dikenain fee biar orang males lunasin duluan jadi tetap kena bunga,makin mengecewakan aja nih jenius sekarang flexi cash ada service fee nya dah gitu kalo mau lunasin duluan pinjeman di flexi cash kena lagi pay early fee rp yang bener ajalah jangan nyusahin nasabah padahal dulu ga ada fee feean itu dengan maximal pelunasan x sebulan sekarang dipersulit dikenain fee biar orang male lunasin duluan jadi tetap kena bunga,1,negative,negative
"Why would you guys even make this app at the first place???? I just tried to register, all the processes almost done, when I was on video call with the cs, then suddenly the app logged me out, asked for my pin number, but it keep saying that the internet was interrupted. I tried to use my password, it asked for new pin, it keeps me back to the pin page, and it doesn't work after all!! YOU GUYS ALREADY HAVE MY PRIVATE DATA!! GIVE IT BACK!!!!!!!",would guy even make app first place tried register process almost done video call c suddenly app logged asked pin number keep saying internet interrupted tried use password asked new pin keep back pin page doesnt work guy already private data give back,1,negative,negative
Very slow responding,slow responding,1,negative,negative
"katanya dormant, buat unblock bawa ktp, ribet banget, uninstall aja ganti ke bank jago",katanya dormant buat unblock bawa ktp ribet banget uninstall aja ganti ke bank jago,1,negative,negative
"Update ke versi terbaru, malah jadi stuck di halaman masukkan pin 🙄 makin dongo ni aplikasi",update ke versi terbaru malah jadi stuck di halaman masukkan pin makin dongo ni aplikasi,1,negative,negative
"Aplikasi ini sangat bagus dari ewallet and mbanking. UI UX designnya sangat menarik, apalagi aktivasinya sangat mudah dan fiturnya lengkap. Enaknya pakai 1 bank di aplikasi ini tuh udah bisa menabung, transfer, top up, dan juga bisa untuk netflix dan spotify juga loh....",aplikasi ini sangat bagus dari ewallet mbanking ui ux designnya sangat menarik apalagi aktivasinya sangat mudah dan fiturnya lengkap enaknya pakai bank di aplikasi ini tuh udah bisa menabung transfer top dan juga bisa untuk netflix dan spotify juga loh,5,positive,positive
"aplikasi jenius memudahkan banget di jaman milenial sekarang, jadi gampang kalau mengatur keuangan",aplikasi jenius memudahkan banget di jaman milenial sekarang jadi gampang kalau mengatur keuangan,5,positive,positive
Mo unlink device ribet dan gagal terus :(,mo unlink device ribet dan gagal terus,1,negative,negative
"app is slow and battery consuming. limited use of transactions. chat helpdesk isn't user friendly. had to reexplain MANY TIMES to CS cause they keep changing PICs everytime i quit the app. call center is difficult to reach out, and always hang up the phone before the issues are fixed, making me having to pay an extra charge for something thet did not inform properly. i rarely leave bad reviews for an app, but this time i had to, so you won't experience the same thing. glad to uninstall this app.",app slow battery consuming limited use transaction chat helpdesk isnt user friendly reexplain many time c cause keep changing pic everytime quit app call center difficult reach always hang phone issue fixed making pay extra charge something thet inform properly rarely leave bad review app time wont experience thing glad uninstall app,1,negative,negative
"i cant login, "" you have expired session, automatic logout "" why ?",cant login expired session automatic logout,1,negative,negative
enak banget bisa buat nabung dan buat mobile banking,enak banget bisa buat nabung dan buat mobile banking,5,positive,positive
"Beberapa bulan belakangan amat sangat lemot dan kerap unresponding, semoga gak ada ide memindahkan aplikasi backend dan frontend nya ke container system, karena cuma manusia bodoh yang melakukan itu. Orang2 yang kurang literasi tetapi berlagak paham segalanya. Maaf kalau kasar, karena ini aplikasi selain BCA digital banking yang saya pakai.",beberapa bulan belakangan amat sangat lemot dan kerap unresponding semoga gak ada ide memindahkan aplikasi backend dan frontend nya ke container system karena cuma manusia bodoh yang melakukan itu orang yang kurang literasi tetapi berlagak paham segalanya maaf kalau kasar karena ini aplikasi selain bca digital banking yang saya pakai,1,negative,negative
aplikasi online banking yang bagus karena mudah melakukan aktivasi online,aplikasi online banking yang bagus karena mudah melakukan aktivasi online,5,positive,positive
BYE JENIUS...diriku udahan dan gaakan pake dirimu lagi JENIUS,bye jeniusdiriku udahan dan gaakan pake dirimu lagi jenius,1,negative,negative
"Kemudahan dalam aktivasi ,mantap!",kemudahan dalam aktivasi mantap,5,positive,positive
Ganti perangkat harus unlink device sebelumnya padahal prosesnya ribet hingga harus video call yg gagal terus. kenapa ga pake verifikasi via nomor kartu seperti *ivin *andiri yg lebih simpel?,ganti perangkat harus unlink device sebelumnya padahal prosesnya ribet hingga harus video call yg gagal terus kenapa ga pake verifikasi via nomor kartu seperti ivin andiri yg lebih simpel,1,negative,negative
"Aplikasi perbankan yang paling mudah yang pernah saya coba, enak lah pkoknya",aplikasi perbankan yang paling mudah yang pernah saya coba enak lah pkoknya,5,positive,positive
aplikasinya super lemot gak kaya dulu.. hey tim Produk jangan ngide macem2 dah.. malah ganggu fungsi utama,aplikasinya super lemot gak kaya dulu hey tim produk jangan ngide macem dah malah ganggu fungsi utama,1,negative,negative
e- wallet yang bisa digunakan sebagai tabungan bank ada m-banking jg cepat dan mudah,e wallet yang bisa digunakan sebagai tabungan bank ada mbanking jg cepat dan mudah,5,positive,positive
"Can't login, always request timeout",cant login always request timeout,3,neutral,neutral
It takes almost 10 minutes just to checking and send my money to another bank... and now you need us to pay monthly? Without no improvement? I will delete it in 3 months when there is no improvement at all,take almost minute checking send money another bank need u pay monthly without improvement delete month improvement,1,negative,negative
"aplikasi ngaco, untuk login pakai email, pas lupa password suruh masukin email, tp ngirim otp ga ke email, malah ke no hp yg terdaftar.. klo no hp ganti gimana?? ngaco",aplikasi ngaco untuk login pakai email pa lupa password suruh masukin email tp ngirim otp ga ke email malah ke hp yg terdaftar klo hp ganti gimana ngaco,1,negative,negative
"transaksi online pake jenius sekarang tuh simpel banget, bisa buat bayar spotify, netflix dll, suka banget deh",transaksi online pake jenius sekarang tuh simpel banget bisa buat bayar spotify netflix dll suka banget deh,5,positive,positive
Aktivasinya gak ribet dan cocok banget buat siswa kayak aku. Jadinya cukup bawa hp kalau kemana mana terus safe juga!,aktivasinya gak ribet dan cocok banget buat siswa kayak aku jadinya cukup bawa hp kalau kemana mana terus safe juga,5,positive,positive
"Suddenly the apps could not be opened! I clicked, wait, and then just cannot open. It is really irritating!",suddenly apps could opened clicked wait cannot open really irritating,1,negative,negative
"Jelek banget pelayanannya ,salesnya bilang tarik tunai atau TF kemanapun gak ada biaya layanan ,ternyata cuma pembodohan ,emang harus bohong gitu ya biar ada yang regist ,mana aplikasu lemot banget ,gak rekom deh pokok jan di instal",jelek banget pelayanannya salesnya bilang tarik tunai atau tf kemanapun gak ada biaya layanan ternyata cuma pembodohan emang harus bohong gitu ya biar ada yang regist mana aplikasu lemot banget gak rekom deh pokok jan di instal,1,negative,negative
"Login gagal sehabis hard reset handphone, repot bgt harus video call lagi buat konfirmasi. Dari website juga sudah tidak bisa login. Saya rasa sudah tidak cocok lagi untuk anak muda, memang cocoknya buat PENSIUNAN yang banyak waktu luangnya. Untungnya saldo tidak bnyak, udah males ngurusnya tidak ada waktu luang untuk saya",login gagal sehabis hard reset handphone repot bgt harus video call lagi buat konfirmasi dari website juga sudah tidak bisa login saya rasa sudah tidak cocok lagi untuk anak muda memang cocoknya buat pensiunan yang banyak waktu luangnya untungnya saldo tidak bnyak udah male ngurusnya tidak ada waktu luang untuk saya,1,negative,negative
"The staff is friendly, apps fast respon and fast process. Good.",staff friendly apps fast respon fast process good,5,positive,positive
Aplikasi Jenius memang sebagus itu untuk memudahkan saya dalam mengatur keuangan saya!,aplikasi jenius memang sebagus itu untuk memudahkan saya dalam mengatur keuangan saya,5,positive,positive
Jenius probably had robbed me around 200k so far in failed attempts to charge my card lol,jenius probably robbed around k far failed attempt charge card lol,1,negative,negative
Very. Slow. Not impressed.,slow impressed,1,negative,negative
"Aplikasi tidak bisa logout, jelek banget",aplikasi tidak bisa logout jelek banget,1,negative,negative
CS bank terparah. Gak solutif bgt. Blm selesai ngomong udah dimatiin. Kendala gak beres2. Kacaulaah pokoknya,c bank terparah gak solutif bgt blm selesai ngomong udah dimatiin kendala gak beres kacaulaah pokoknya,1,negative,negative
Kok buat rekening lama banget udah 7 jam masih proses,kok buat rekening lama banget udah jam masih prose,1,negative,negative
"Bego banget developer, manajer dan direktur nya",bego banget developer manajer dan direktur nya,1,negative,negative
"Update mulu deh, memory kaga cukup",update mulu deh memory kaga cukup,1,negative,negative
"Nice app for saving and numerous transactions including its online debit capability for such wide online transaction. One feature that I love most, moneytory, give us summary on our monthly transaction with automatic classification. This makes controlling our financial plan easier. One thing needs to be improved, this apps is quite slow.",nice app saving numerous transaction including online debit capability wide online transaction one feature love moneytory give u summary monthly transaction automatic classification make controlling financial plan easier one thing need improved apps quite slow,4,positive,positive
Apk nyh bagus dan man,apk nyh bagus dan man,5,positive,positive
"CS gajelas, ditanya jawabnya muter2. Tadi login juga gabisa2 padahal pin password udh bener, ngga ada pesen error juga",c gajelas ditanya jawabnya muter tadi login juga gabisa padahal pin password udh bener ngga ada pesen error juga,1,negative,negative
Aplikasimu payah boss. Lemoooooooot biiiiiaaanget......,aplikasimu payah bos lemoooooooot biiiiiaaanget,1,negative,negative
Can't login,cant login,1,negative,negative
"aplikasi bank online yang safe sih menurut aku. Lebih mudah untuk mbanking, bayar Netflix, spotify, dll. Gak perlu repot top up kemana-mana. Cukup satu app ini aja",aplikasi bank online yang safe sih menurut aku lebih mudah untuk mbanking bayar netflix spotify dll gak perlu repot top kemanamana cukup satu app ini aja,5,positive,positive
Bagus banget,bagus banget,5,positive,positive
So bad,bad,1,negative,negative
"The most slow apps ever. Lemot banget,kayaknya perlu dievaluasi tim yg ngebangun aplikasinya. Ini kalo lagi buru-buru, udah emosi duluan. Kabarin saya kalo aplikasinya sudah upgrade dan udah ga lemot, baru saya mau pake jenius lagi",slow apps ever lemot bangetkayaknya perlu dievaluasi tim yg ngebangun aplikasinya ini kalo lagi buruburu udah emosi duluan kabarin saya kalo aplikasinya sudah upgrade dan udah ga lemot baru saya mau pake jenius lagi,2,negative,negative
Aplikasi yang mudah untuk malukan transaksi pembayaran apapun. Thx jenius betul2 JENIUS!,aplikasi yang mudah untuk malukan transaksi pembayaran apapun thx jenius betul jenius,5,positive,positive
"Tutup rekening tidak semudah membuka rekening. Dan sekarang ada biaya admin, saatnya pindah mencari bank lain 🤭",tutup rekening tidak semudah membuka rekening dan sekarang ada biaya admin saatnya pindah mencari bank lain,1,negative,negative
"Design aplikasinya bagus, dan sangat membantu saya sebagai pelajar, terima kasih Jenius.",design aplikasinya bagus dan sangat membantu saya sebagai pelajar terima kasih jenius,5,positive,positive
"Cakep bgt pake Jenius, fiturnya lengkap dan bagus-bagus, seperti bisa debit card, mobil banking, bisa buat langsung bayar netflix, spotify, bisa top up e-wallet dan lain-lain. Canggih deh pokoknya.",cakep bgt pake jenius fiturnya lengkap dan bagusbagus seperti bisa debit card mobil banking bisa buat langsung bayar netflix spotify bisa top ewallet dan lainlain canggih deh pokoknya,5,positive,positive
"Aplikasinya memiliki tampilan bagus dan fungsionalitas yang lengkap, namun leletnya minta ampun.",aplikasinya memiliki tampilan bagus dan fungsionalitas yang lengkap namun leletnya minta ampun,2,negative,negative
Tidak bisa login. Automatically logged out. tolong benerin aplikasinya,tidak bisa login automatically logged tolong benerin aplikasinya,1,negative,negative
"Sangat lelet, krn gak pakai native developmentnya... Kepala produk dan UX nya mesti dipecat, fitur2 nya tambah aneh.... Sudah gak bs copy paste lagi saat mau masukkan no rekening saat transfer, ketika pindah aplikasi utk lihat no rek, lalu mau input lagi harus ngulang lagi dari awal. Ribeeet...Belum lagi skrg, ada bug.. bukti transaksi gak ada.. di in out dan pdf nya gak ada tulisan detail uang ditransfer kemana hanya tulisan, ""Transfer ke Bank Lain"".. dev cycle nya gak punya unit testing y?",sangat lelet krn gak pakai native developmentnya kepala produk dan ux nya mesti dipecat fitur nya tambah aneh sudah gak b copy paste lagi saat mau masukkan rekening saat transfer ketika pindah aplikasi utk lihat rek lalu mau input lagi harus ngulang lagi dari awal ribeeetbelum lagi skrg ada bug bukti transaksi gak ada di dan pdf nya gak ada tulisan detail uang ditransfer kemana hanya tulisan transfer ke bank lain dev cycle nya gak punya unit testing,1,negative,negative
"Aplikasi perbankan yang sangat mudah , banyak banget manfaatnya untuk e wallet .. Meskipun pakai video call tapi gak ribet ..",aplikasi perbankan yang sangat mudah banyak banget manfaatnya untuk e wallet meskipun pakai video call tapi gak ribet,5,positive,positive
LEMOT,lemot,1,negative,negative
unstable.,unstable,1,negative,negative
Lambat terus applikasinya. Mau awal buka ataupun pindah2 menu.,lambat terus applikasinya mau awal buka ataupun pindah menu,1,negative,negative
Eror parah padahal belum mulai dipake. Baru diinstalll,eror parah padahal belum mulai dipake baru diinstalll,1,negative,negative
"trimakasii jeniuss, aplikasi nya simple bgt udah gitu sy bisa purchase spotify premium via jeniuss gampang bgttt!!",trimakasii jeniuss aplikasi nya simple bgt udah gitu sy bisa purchase spotify premium via jeniuss gampang bgttt,5,positive,positive
"Saya tidak bisa login saat berganti device sedangkan pada device lama sudah saya usahakan logout. Perihal ini pernah dipermasalahkan oleh user lain yg di up ke YouTube, saya cukup heran mengapa permasalahan ini saya alami juga namun tidak bisa menemukan titik terang kemana saya harus meminta bantuan agar masalah ini teratasi. Saldo saya tidak besar, namun saya cukup terbantu dengan fitur yg dimiliki jenius sehingga saya harap masalah ini mendapatkan titik terang",saya tidak bisa login saat berganti device sedangkan pada device lama sudah saya usahakan logout perihal ini pernah dipermasalahkan oleh user lain yg di ke youtube saya cukup heran mengapa permasalahan ini saya alami juga namun tidak bisa menemukan titik terang kemana saya harus meminta bantuan agar masalah ini teratasi saldo saya tidak besar namun saya cukup terbantu dengan fitur yg dimiliki jenius sehingga saya harap masalah ini mendapatkan titik terang,1,negative,negative
Aplikasi keuangan yang aman,aplikasi keuangan yang aman,5,positive,positive
good,good,4,positive,positive
"Parah lemot parah, uninstal done",parah lemot parah uninstal done,1,negative,negative
Bagus,bagus,5,positive,positive
"Slow, laggy, very bad ui/ux, expensive cost call center",slow laggy bad uiux expensive cost call center,1,negative,negative
"aplikasi bank digital yang bagus, banyak promonya!! ga nyesel download Jenius 🥰",aplikasi bank digital yang bagus banyak promonya ga nyesel download jenius,5,positive,positive
setelah mau register account malah di keluarin aku habis mau register lagi malah bilangnya lagi used sama device lain tapi di device aku ribet dan buang waktu aja nih,setelah mau register account malah di keluarin aku habis mau register lagi malah bilangnya lagi used sama device lain tapi di device aku ribet dan buang waktu aja nih,1,negative,negative
"Byk potongan, bukan dpt bunga saving malah byk berkurang saldo. Tutup akun dan uninstall.",byk potongan bukan dpt bunga saving malah byk berkurang saldo tutup akun dan uninstall,1,negative,negative
Kocak mau login gabisa benerin lah aplikasinya,kocak mau login gabisa benerin lah aplikasinya,1,negative,negative
Loading aplikasi pas pertama buka lama banget. Habis masukkan password loading lama lagi. Buka menu transfer/bayar pakai qr code lebih lama lagi. Trus kalo loading kelamaan tiba-tiba kelog out. Mesti login ulang lagi. Habis kesabaran saya.,loading aplikasi pa pertama buka lama banget habis masukkan password loading lama lagi buka menu transferbayar pakai qr code lebih lama lagi trus kalo loading kelamaan tibatiba kelog mesti login ulang lagi habis kesabaran saya,2,negative,negative
"Halo ini kenapa aplikasi jenius gabisa login ya, saya pakai pin, pakai password juga masih gabisa, stuck di page login/pin",halo ini kenapa aplikasi jenius gabisa login ya saya pakai pin pakai password juga masih gabisa stuck di page loginpin,1,negative,negative
session expired?,session expired,1,negative,negative
aplikasinya yang memudahkan bagi pengguna dan fitur² yang ada di aplikasinya sangat mudah di pahami,aplikasinya yang memudahkan bagi pengguna dan fitur yang ada di aplikasinya sangat mudah di pahami,5,positive,positive
"Aplikasi financial paling Jenius! UI UX nya simple, aktivasi mudah, bisa jadi mbanking alias jadi e wallet, bisa buat menabung, belanja online, top up spotify dan netflix jadi gampang!",aplikasi financial paling jenius ui ux nya simple aktivasi mudah bisa jadi mbanking alias jadi e wallet bisa buat menabung belanja online top spotify dan netflix jadi gampang,5,positive,positive
"keren sekali aplikasi ini, wajib didownload",keren sekali aplikasi ini wajib didownload,5,positive,positive
"Lancar dan tidak ada kendala dimanapun, dlm atw luar negri. Dr smw aplikasi banking ni yang paling terbaik menurut saya. G ribet, aman, dn cepat. Yang paling berkesan pelayanan pelanggan na, gercep dn helpful. Keep up ya jenius. Trm ksh sdh mnjdi bagian dr hidup kmi. ❤",lancar dan tidak ada kendala dimanapun dlm atw luar negri dr smw aplikasi banking ni yang paling terbaik menurut saya g ribet aman dn cepat yang paling berkesan pelayanan pelanggan na gercep dn helpful keep ya jenius trm ksh sdh mnjdi bagian dr hidup kmi,5,positive,positive
"Dipaksa bikin akun dicegat di mall ngakunya 5 menit malah ngabisin waktu, mana gabisa dihapus akunnya sendiri harus repot nelpon cs >:(",dipaksa bikin akun dicegat di mall ngakunya menit malah ngabisin waktu mana gabisa dihapus akunnya sendiri harus repot nelpon c,1,negative,negative
"After updating, app runs faster than before but still slower than other bank's.",updating app run faster still slower bank,4,positive,positive
"Aplikasi bank yang tidak memberatkan hp, mudah digunakan dengan tampilan UI/UX ny, dan semoga aman digunakan sebagai mobile banking, recommended",aplikasi bank yang tidak memberatkan hp mudah digunakan dengan tampilan uiux ny dan semoga aman digunakan sebagai mobile banking recommended,5,positive,positive
"Aplikasi sering error, susah donlot bukti transfer sampai terlogout sendiri. Sering saat akan transaksi tiba2 aplikasi tidak merespon, seperti freeze bahkan tdk bisa log out",aplikasi sering error susah donlot bukti transfer sampai terlogout sendiri sering saat akan transaksi tiba aplikasi tidak merespon seperti freeze bahkan tdk bisa log,3,neutral,neutral
"Customer experience nya masih perlu ditingkatkan. Terkadang sulit login (ketika memasukan pin tidak masuk ke home page), terus alur pembayaran PLN sangat ribet, token prabayar nya tidak disatukan di invoice tapi dikirimkan di notifikasi yang mana kalau gagal digenerate, suka nggak bisa direfresh yang akhirnya nggak ada deh tokennya.",customer experience nya masih perlu ditingkatkan terkadang sulit login ketika memasukan pin tidak masuk ke home page terus alur pembayaran pln sangat ribet token prabayar nya tidak disatukan di invoice tapi dikirimkan di notifikasi yang mana kalau gagal digenerate suka nggak bisa direfresh yang akhirnya nggak ada deh tokennya,2,negative,negative
"Suka sih sama jenius, aktivasinya gampang, cuma online aja dan udah deh kedaftar, dan untuk keperluan e wallet juga lancar dan bisa untuk segala pembayaran, mulai dari bayar makanan dan kopi, sampe bayar tiker bioskop",suka sih sama jenius aktivasinya gampang cuma online aja dan udah deh kedaftar dan untuk keperluan e wallet juga lancar dan bisa untuk segala pembayaran mulai dari bayar makanan dan kopi sampe bayar tiker bioskop,5,positive,positive
"Suatu aplikasi mbanking terbaik, pokonya baguss deh jenius",suatu aplikasi mbanking terbaik pokonya baguss deh jenius,5,positive,positive
"Cannot login account, always session expired.. Already 4 times trying login",cannot login account always session expired already time trying login,2,negative,negative
Please do not use this app if you have urgent transaction. It took ages to finish up one payment only. Doesn't sound genius enough just like the name should be. It took a lot of patient for you to deal with this app.,please use app urgent transaction took age finish one payment doesnt sound genius enough like name took lot patient deal app,1,negative,negative
gampang banget mau top up apa aja pake ini,gampang banget mau top apa aja pake ini,5,positive,positive
"Suka lemot dan biometrics sering gagal, tapi cukup mudah utk daftar dan digunakan",suka lemot dan biometrics sering gagal tapi cukup mudah utk daftar dan digunakan,5,positive,positive
Aplikasi yang fitur nya sangat banyak dan mudah di pakai dan proses pendaftaran juga cepat,aplikasi yang fitur nya sangat banyak dan mudah di pakai dan prose pendaftaran juga cepat,5,positive,positive
"Aplikasi nya nyaman digunakan,aplikasi perbankan terbaik deh pokonya,semua fiturnya juga mudah digunakan,keren.",aplikasi nya nyaman digunakanaplikasi perbankan terbaik deh pokonyasemua fiturnya juga mudah digunakankeren,5,positive,positive
"Saya gak terima biaya insufficient funds tiba-tiba, kan masa dana kurang di cas lagi",saya gak terima biaya insufficient fund tibatiba kan masa dana kurang di ca lagi,2,negative,negative
"Sudah setahun tidak bisa login. Sudah telp cs dan dikasih link video call tapi selalu terputus. Telpon lagi, link baru lagi, putus lagi. Cuma buang pulsa tanpa solusi. Ganti device doang lo. Jenius ko ga jenius",sudah setahun tidak bisa login sudah telp c dan dikasih link video call tapi selalu terputus telpon lagi link baru lagi putus lagi cuma buang pulsa tanpa solusi ganti device doang lo jenius ko ga jenius,1,negative,negative
"Bank jenius ini keren banget, aktivasinya mudah dan cepat. Jadi makin rajin nabung deh pakai aplikasi bank jenius",bank jenius ini keren banget aktivasinya mudah dan cepat jadi makin rajin nabung deh pakai aplikasi bank jenius,5,positive,positive
